,UNITID,Year,INSTNM,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,ACTCMMID,SAT_AVG,UGDS,NUM4_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,INEXPFTE,AVGFACSAL,C150_4,RET_FT4,PCTFLOAN,CDR2,COMP_ORIG_YR2_RT,COMP_4YR_TRANS_YR2_RT,WDRAW_ORIG_YR2_RT,COMPL_RPY_3YR_RT,OVERALL_YR4_N,DEBT_MDN,MN_EARN_WNE_P10,ICLEVEL,UGDS_MEN,UGDS_WOMEN,GRADS,BOOKSUPPLY,ROOMBOARD_ON,GT_THRESHOLD_P8,cluster
9,100937.0,2011,Birmingham-Southern College,3.0,4.0,2.0,0.6649,27.0,1192.0,1521.0,327.0,27890.0,27890.0,11479.0,6379.0,0.6349,0.8231,0.4483,0.044,,,0.167286245,,179.0,15000.0,,1.0,0.5062,0.4938,21.0,1200.0,10210.0,,5
13,101189.0,2011,Faulkner University,3.0,4.0,2.0,0.5117,23.0,1052.0,2334.0,274.0,14810.0,14810.0,4245.0,6444.0,0.373,0.6628,0.887,0.102,0.092592593,0.008417508,0.330808081,,1042.0,11078.5,,1.0,0.377,0.623,564.0,1800.0,6650.0,,5
28,101693.0,2011,University of Mobile,3.0,4.0,2.0,0.746,23.0,1064.0,1477.0,172.0,16120.0,16120.0,6261.0,4591.0,0.4122,0.7104,0.8332,0.042,0.14084507,,0.185446009,0.7610619469,337.0,12500.0,,1.0,0.3155,0.6845,193.0,1500.0,7580.0,,5
33,101912.0,2011,Oakwood University,3.0,4.0,2.0,0.5112,20.0,938.0,1841.0,272.0,14250.0,14250.0,7048.0,5009.0,0.4028,0.6701,0.6907,0.125,,,0.171428571,0.6302521008,436.0,11312.5,,1.0,0.4307,0.5693,48.0,1400.0,9038.0,,5
36,102049.0,2011,Samford University,3.0,4.0,2.0,0.8669,26.0,1172.0,2918.0,336.0,21942.0,21942.0,11347.0,7480.0,0.7338,0.8607,0.39,0.007,0.112704918,,0.051229508,0.8537234043,391.0,12500.0,,1.0,0.3636,0.6364,1777.0,1200.0,7024.0,,5
40,102234.0,2011,Spring Hill College,3.0,4.0,2.0,0.5307,24.0,1087.0,1377.0,263.0,26730.0,26730.0,6053.0,5544.0,0.644,0.7813,0.6656,0.051,0.045317221,,0.117824773,0.8159509202,314.0,16000.0,,1.0,0.3784,0.6216,218.0,1500.0,10250.0,,5
44,102377.0,2011,Tuskegee University,3.0,4.0,2.0,0.5972,19.0,894.0,2480.0,499.0,16750.0,16750.0,10021.0,5963.0,0.4636,0.7095,0.676,0.073,,,0.156334232,0.8166666667,704.0,12937.5,,1.0,0.4355,0.5645,466.0,1165.0,7570.0,,5
62,104586.0,2011,Embry-Riddle Aeronautical University-Prescott,3.0,4.0,2.0,0.8193,25.0,1130.0,1647.0,104.0,29428.0,29428.0,16760.0,7419.0,0.6011,0.783,0.6091,0.044,0.095421481,0.009413778,0.159606333,0.7864864865,2045.0,7033.0,,1.0,0.827,0.173,51.0,1400.0,8790.0,,5
98,107044.0,2011,Harding University,3.0,4.0,2.0,0.7266,25.0,1137.0,4122.0,611.0,14040.0,14040.0,8410.0,6285.0,0.6681,0.7996,0.5879,0.021,0.080357143,,0.119419643,0.8700906344,846.0,14500.0,,1.0,0.4704,0.5296,2575.0,900.0,5922.0,,5
100,107080.0,2011,Hendrix College,3.0,4.0,2.0,0.8288,30.0,1305.0,1451.0,221.0,32040.0,32040.0,11772.0,6715.0,0.6034,0.8641,0.5357,0.018,,,0.088888889,0.8333333333,284.0,15375.0,,1.0,0.428,0.572,13.0,900.0,9086.0,,5
